,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,cv_mean_scores,cv_mean_runtimes
0,500,20,5,0.5,,True,0.8766505099838433,0.05724740028381348
1,500,20,5,0.25,40.0,True,0.8909115575782243,0.057247495651245116
2,100,5,10,0.75,10.0,False,0.8341874175207508,0.015359020233154297
3,100,20,5,0.5,40.0,False,0.8711091377758045,0.014561176300048828
4,500,10,3,0.75,50.0,False,0.8423631923631923,0.055650758743286136
5,500,5,5,0.25,40.0,False,0.8864376364376364,0.05905704498291016
6,500,20,3,0.5,50.0,True,0.8777475610808944,0.05605001449584961
7,10,10,5,0.75,,True,0.8370376537043203,0.0041888713836669925
8,500,5,10,0.25,30.0,False,0.8821887988554655,0.05644903182983398
9,10,10,3,0.75,10.0,True,0.8791473958140624,0.004587697982788086
10,10,10,5,0.75,10.0,False,0.8420878504211837,0.004188966751098633
11,1000,5,5,0.5,50.0,False,0.8661480494813828,0.10751266479492187
12,10,10,3,0.75,10.0,False,0.8366614866614865,0.004388284683227539
13,500,10,10,0.25,50.0,True,0.8877647044313711,0.05744657516479492
14,10,10,10,0.75,30.0,False,0.8145718479051812,0.004388284683227539
15,10,20,3,0.5,10.0,True,0.8613429780096447,0.004188823699951172
16,100,10,10,0.5,10.0,True,0.8690340523673857,0.013962697982788087
17,1000,20,3,0.75,10.0,False,0.8401277734611068,0.10731320381164551
18,100,5,10,0.25,10.0,False,0.8838784672118004,0.014361763000488281
19,1000,5,3,0.5,40.0,True,0.874672241338908,0.11230034828186035
20,100,10,10,0.75,40.0,True,0.8721445221445222,0.014162206649780273
21,100,10,3,0.25,40.0,False,0.8798220298220298,0.01575789451599121
22,500,10,3,0.75,40.0,False,0.8458011124677791,0.0586430549621582
23,100,10,10,0.75,10.0,True,0.8680430680430682,0.01576123237609863
24,1000,20,3,0.5,50.0,True,0.8728925395592062,0.11349649429321289
25,100,5,5,0.5,30.0,True,0.8770063270063272,0.01436152458190918
26,100,20,5,0.25,,False,0.8892582725916058,0.014960098266601562
27,500,5,3,0.25,30.0,True,0.8819186985853653,0.059241628646850585
28,100,10,5,0.75,20.0,False,0.8550363217029885,0.01455826759338379
29,500,10,5,0.25,40.0,True,0.8916521749855084,0.05824613571166992
30,10,20,10,0.5,,False,0.8525582442249109,0.004587745666503907
31,100,20,5,0.5,40.0,True,0.8763588263588264,0.014162063598632812
32,10,5,10,0.25,20.0,False,0.8778095361428695,0.004386615753173828
33,1000,5,5,0.75,20.0,False,0.8551997385330719,0.11928105354309082
34,100,20,10,0.5,,True,0.8736818736818737,0.014162158966064453
35,1000,5,10,0.5,10.0,True,0.8771376771376771,0.1099062442779541
36,10,20,3,0.75,30.0,False,0.8259253092586427,0.004786396026611328
37,1000,20,10,0.75,10.0,False,0.8327925161258495,0.11509189605712891
38,1000,5,5,0.25,50.0,True,0.8902955069621736,0.11309466361999512
39,500,20,3,0.75,50.0,True,0.8594590594590595,0.06203417778015137
40,500,10,3,0.75,10.0,True,0.8713274379941047,0.05844383239746094
41,10,10,3,0.5,30.0,False,0.8681636264969598,0.003989267349243164
42,100,20,5,0.75,30.0,True,0.8703050036383371,0.01575770378112793
43,10,5,10,0.25,10.0,False,0.8438752605419273,0.004786968231201172
44,1000,20,3,0.75,50.0,False,0.8393902393902394,0.1083913803100586
45,10,20,10,0.25,50.0,False,0.8535957869291202,0.004787921905517578
46,10,20,3,0.75,40.0,False,0.8474383641050307,0.0045874595642089845
47,500,10,5,0.75,20.0,True,0.8715611548944882,0.05605001449584961
48,1000,20,5,0.5,40.0,False,0.8676101676101675,0.10934739112854004
49,500,5,5,0.5,30.0,False,0.8681972348639017,0.06195363998413086
50,10,10,10,0.75,20.0,True,0.8684587017920352,0.004188823699951172
51,10,20,5,0.25,,True,0.8662263662263662,0.004388141632080078
52,500,20,5,0.5,50.0,False,0.8664816664816666,0.05936121940612793
53,500,20,10,0.75,40.0,False,0.8351913518580186,0.061620235443115234
54,10,5,10,0.75,50.0,True,0.8811990478657146,0.006245470046997071
55,1000,20,5,0.25,10.0,True,0.8885127218460551,0.1144911766052246
56,1000,10,5,0.25,40.0,False,0.8864505864505865,0.11628904342651367
57,100,5,5,0.75,,False,0.8560784894118226,0.01469426155090332
58,500,10,5,0.25,10.0,False,0.8882364549031216,0.0600398063659668
59,1000,5,5,0.5,10.0,True,0.8794538794538795,0.1144944190979004
60,100,20,3,0.75,,True,0.8654271654271654,0.014362096786499023
61,1000,10,3,0.5,10.0,True,0.8795278795278796,0.1200789451599121
62,10,10,5,0.75,20.0,True,0.8549311799311801,0.004587793350219726
63,10,20,5,0.75,50.0,False,0.8403587153587153,0.004590272903442383
64,1000,10,5,0.5,20.0,False,0.8675108841775507,0.10890884399414062
65,10,10,3,0.75,20.0,True,0.8449115699115699,0.00498666763305664
66,100,20,10,0.5,20.0,False,0.8616765950099283,0.015358352661132812
67,100,10,5,0.5,20.0,False,0.8651693985027318,0.014561128616333009
68,1000,10,3,0.5,40.0,True,0.8781644281644281,0.11309747695922852
69,1000,10,10,0.75,,True,0.8688391855058523,0.109108304977417
70,100,20,5,0.25,20.0,False,0.8892465559132227,0.014960193634033203
71,10,5,5,0.5,50.0,False,0.859633576300243,0.0047871112823486325
72,100,20,3,0.5,30.0,True,0.8701785868452536,0.013962745666503906
73,100,10,10,0.75,50.0,True,0.8650361983695317,0.015957355499267578
74,10,5,10,0.5,30.0,False,0.8621545121545122,0.005186223983764648
75,100,20,3,0.75,30.0,False,0.8378831045497712,0.015957450866699217
76,1000,5,10,0.25,50.0,False,0.8871270704604038,0.11369600296020507
77,1000,20,3,0.25,50.0,False,0.8861330027996693,0.11190085411071778
78,500,10,5,0.5,50.0,True,0.8778215611548944,0.05784530639648437
79,1000,5,10,0.75,20.0,False,0.8324077157410491,0.11110305786132812
80,500,20,10,0.75,30.0,False,0.8330940664273998,0.057645988464355466
81,100,5,3,0.25,50.0,True,0.8837317003983671,0.014162158966064453
82,500,20,10,0.25,40.0,False,0.8867484367484367,0.057047367095947266
83,500,20,3,0.75,20.0,False,0.8376839210172544,0.058044815063476564
84,10,20,10,0.25,10.0,True,0.8683970350637017,0.004188823699951172
85,100,5,3,0.75,10.0,False,0.8465349465349465,0.014162015914916993
86,1000,5,5,0.75,,False,0.8531505531505532,0.10691275596618652
87,500,10,3,0.75,,True,0.870570787237454,0.056450939178466795
88,100,20,3,0.75,10.0,True,0.8636092302758968,0.014764881134033203
89,100,20,5,0.5,20.0,False,0.8671421171421171,0.014159679412841797
90,1000,10,10,0.25,10.0,False,0.8881852715186049,0.11050448417663575
91,10,10,3,0.75,50.0,False,0.8441620108286776,0.004787254333496094
92,1000,5,5,0.5,,True,0.8764235764235764,0.1097078800201416
93,1000,10,5,0.75,40.0,True,0.8708433541766875,0.10831050872802735
94,500,20,10,0.5,30.0,True,0.8771086937753605,0.055651283264160155
95,100,10,5,0.25,30.0,True,0.8905138071804739,0.014760494232177734
96,500,5,5,0.75,20.0,False,0.8562647229313896,0.057246971130371097
97,1000,10,10,0.25,30.0,True,0.887081437081437,0.08123011589050293
98,1000,10,10,0.75,40.0,True,0.8720199553532886,0.06110854148864746
99,500,5,3,0.5,30.0,True,0.8767565767565768,0.048056745529174806
